Station ID,Property/Business Name,Street Address,Hours of Operation,Charger Fee(per Hour),Latitude,Longitude,Location,Latitude.1,Longitude.1
351,Davies Pacific Center,841 Bishop Street,00:00-23:59,$2.25,21.3077429,-157.8625841,"(21.3077429, -157.8625841)",,
373,Hawaii State Capitol,415 South Beretania St.,04:00-18:30,$2,21.307757,-157.857302,"(21.307757, -157.857302)",,
457,TOPA Financial Center,700 Bishop St.,05:00-20:00,$2,21.3077669,-157.86351,"(21.3077669, -157.86351)",,
349,Central Pacific Plaza,220 S. King St,07:00-19:00,$2,21.307812,-157.860548,"(21.307812, -157.860548)",,
463,University of Hawaii Faculty Housing,3029 Lowrey Avenue,00:00-23:59,$2,21.308162,-157.806897,"(21.308162, -157.806897)",,
447,Queenâ€™s Physician Office Building,1380 Lusitana street,00:00-23:59,$2.00,21.30838,-157.85314,"(21.30838, -157.85314)",,
653,Bishop Square,1003 Bishop Street,00:00-23:59,$4,21.30905,-157.86036,"(21.30905, -157.86036)",,
723,Bishop Place,1132 Bishop Street,00:00-23:59,$3,21.31005,-157.86038,"(21.31005, -157.86038)",,
491,Chinatown Gateway Plaza Parking Structure,1031 Nuuanu Ave,06:00-23:59,$0,21.310543,-157.862248,"(21.310543, -157.862248)",,
419,Markâ€™s Garage,1159 Nuuanu Ave,06:00-02:00,$2,21.3114,-157.86103,"(21.3114, -157.86103)",,
489,Smith-Beretania Parking Structure,1170 Nuuanu,06:00-23:59,$0,21.3119549,-157.8606255,"(21.3119549, -157.8606255)",,
493,Hale Pauahi Parking Structure,155 N Beretania St.,06:00-23:59,$0,21.3135816,-157.8616886,"(21.3135816, -157.8616886)",,
467,USA Hawaii Federal Credit Union,1226 College Walk,07:00-19:00,$2,21.315543,-157.862141,"(21.315543, -157.862141)",,
901,801 Dillingham Building,801 Dillingham Blvd,00:00-23:59,$3,21.3179332,-157.8694431,"(21.3179332, -157.8694431)",,
813,Costco (Alakawa St.),525 Alakawa St,00:00-23:59,$0.25,21.31863,-157.87115,"(21.31863, -157.87115)",,
427,Enterprise Nimitz Center,1130 North Nimitz Hwy,08:00-21:00,$2,21.3188507,-157.8745459,"(21.3188507, -157.8745459)",,
607,Times Supermarket - Liliha Branch,1425 Liliha St,07:00-10:00,$0,21.31977,-157.86124,"(21.31977, -157.86124)",,
811,Honolulu Community College,874 Dillingham Blvd,09:00-20:00,$0,21.32044,-157.86921,"(21.32044, -157.86921)",,
577,Kuakini Medical Center,347 N Kuakini St,00:00-23:59,$2,21.32107,-157.85677,"(21.32107, -157.85677)",,
801,"Costco Wholesale, Kapolei (Broken)",4589 Kapolei Pkwy,00:00-23:59,$0,21.32674,-158.08756,"(21.32674, -158.08756)",,
407,Kapolei Judiciary State Ownership,4675 Kapolei Pkwy,07:00-17:00,$2,21.3277116,-158.0859761,"(21.3277116, -158.0859761)",,
741,Kapolei Commons,4470 Kapolei Parkway,00:00-23:59,$1.50,21.329,-158.0916,"(21.329, -158.0916)",,
405,Kapolei Commons,4470 Kapolei Parkway,00:00-23:59,$0.50,21.329,-158.0916,"(21.329, -158.0916)",,
591,Home Depot,4600 Kapolei Pkwy,00:00-23:59,$0,21.32921,-158.08863,"(21.32921, -158.08863)",,
681,Kapolei Village Center,4850 Kapolei Parkway,00:00-23:59,$2.25,21.32989,-158.07858,"(21.32989, -158.07858)",,
803,Pioneer Ace Hardware,480 Kamokila Boulevard,07:00-19:00,$0,21.3299,-158.08643,"(21.3299, -158.08643)",,
525,Marriott's Ko Olina Beach Club,92-149 Waipahe Pl,00:00-23:59,$0,21.33114,-158.121542,"(21.33114, -158.121542)",,
797,Naia,92-149 Waipahe Pl,00:00-23:59,$0,21.33114,-158.12154,"(21.33114, -158.12154)",,
673,Target-Kapolei,4450 Kapolei Pkwy Ste 100,06:00-23:00,$2.25,21.33165,-158.0921,"(21.33165, -158.0921)",,
385,Honolulu International Airport,300 Rodgers Boulevard,00:00-23:59,$7,21.332602,-157.9190477,"(21.332602, -157.9190477)",,
347,Bishop Museum,1525 Bernice St.,09:00-17:00,$2,21.3331678,-157.8693335,"(21.3331678, -157.8693335)",,
359,Enterprise Rent A Car Honolulu Airport,3255 Aolele St,06:00-22:30,$2,21.3333209,-157.9151068,"(21.3333209, -157.9151068)",,
365,Ewa Town Center,91-1401 Ft Weaver Rd,07:00-21:00,$2,21.333873,-158.024426,"(21.333873, -158.024426)",,
905,Campbell Square,"1001 Kamokila Blvd, Kapolei Building",00:00-23:59,$2.50,21.33466,-158.08053,"(21.33466, -158.08053)",,
701,New City Nissan,2295 North King Street,06:30-20:00,$0,21.3353,-157.8822,"(21.3353, -157.8822)",,
425,New City Nissan,2295 North King Street,06:30-20:00,$0,21.3355002,-157.8825108,"(21.3355002, -157.8825108)",,
605,"Alamo Enterprise Rent-a-Car, Nimitz",3055 N. Nimitz Hwy,00:00-23:59,$2,21.33564,-157.90803,"(21.33564, -157.90803)",,
889,KaMakana Ali'i- The Center for West Oahu,91-5431 Kapolei Parkway,10:00-21:00,$0,21.33631,-158.05205,"(21.33631, -158.05205)",,
345,Best Western Plaza Hotel,3253 N. Nimitz Highway,00:00-23:59,$0,21.3364879,-157.9131399,"(21.3364879, -157.9131399)",,
429,Ohana Honolulu Airport Hotel,"3401 N. Nimitz Hwy,",00:00-23:59,$0,21.3372565,-157.917948,"(21.3372565, -157.917948)",,
409,Kapolei Shopping Center,590 Farrington Hwy,08:00-22:00,$2,21.3390928,-158.0794408,"(21.3390928, -158.0794408)",,
343,"Aulani A Disney Resort and Spa, Ko Olina",92-1185 Aliinui Drive,00:00-23:59,$0,21.339614,-158.123265,"(21.339614, -158.123265)",,
423,Moanalua Shopping Center,930 Valkenburgh St,07:00-21:00,$2,21.3413033,-157.9294558,"(21.3413033, -157.9294558)",,
749,Walmart #3883 - Kapolei HI,91-600 Farrington Highway,00:00-23:59,$0.50,21.34207,-158.07542,"(21.34207, -158.07542)",,
397,Kaiser Permanente Mapunapuna,2828 Paa Street,08:00-17:00,$0,21.3458841,-157.8946895,"(21.3458841, -157.8946895)",,
887,Target -Salt Lake,4380 Lawehana St,00:00-23:59,$0,21.35483,-157.92881,"(21.35483, -157.92881)",,
671,Target- Honolulu,4380 Lawehana St,08:00-23:59,$5,21.35583,-157.92927,"(21.35583, -157.92927)",,
399,Kaiser Permanente Moanalua Medical Center,3288 Moanalua Road,08:30-17:00,$0,21.363393,-157.899511,"(21.363393, -157.899511)",,
